m5.12xlarge        48 vCPU   3.1 GHz        192.0Gb    $2.904/hr
m5.16xlarge        64 vCPU   3.1 GHz        256.0Gb    $3.872/hr
m5.24xlarge        96 vCPU   3.1 GHz        384.0Gb    $5.808/hr
m5.metal           96 vCPU   3.1 GHz        384.0Gb    $5.808/hr
m5a.large          2 vCPU    2.5 GHz        8.0Gb      $0.109/hr
m5a.xlarge         4 vCPU    2.5 GHz        16.0Gb     $0.218/hr
m5a.2xlarge        8 vCPU    2.5 GHz        32.0Gb     $0.436/hr
m5a.4xlarge        16 vCPU   2.5 GHz        64.0Gb     $0.872/hr
m5a.8xlarge        32 vCPU   2.5 GHz        128.0Gb    $1.744/hr
m5a.12xlarge       48 vCPU   2.5 GHz        192.0Gb    $2.616/hr
m5a.16xlarge       64 vCPU   2.5 GHz        256.0Gb    $3.488/hr
m5a.24xlarge       96 vCPU   2.5 GHz        384.0Gb    $5.232/hr
m5ad.large         2 vCPU    2.5 GHz        8.0Gb      $0.131/hr
m5ad.xlarge        4 vCPU    2.5 GHz        16.0Gb     $0.262/hr
m5ad.2xlarge       8 vCPU    2.5 GHz        32.0Gb     $0.524/hr
m5ad.4xlarge       16 vCPU   2.5 GHz        64.0Gb     $1.048/hr
m5ad.8xlarge       32 vCPU   2.5 GHz        128.0Gb    $2.096/hr
m5ad.12xlarge      48 vCPU   2.5 GHz        192.0Gb    $3.144/hr
m5ad.16xlarge      64 vCPU   2.5 GHz        256.0Gb    $4.192/hr
m5ad.24xlarge      96 vCPU   2.5 GHz        384.0Gb    $6.288/hr
m5d.large          2 vCPU    3.1 GHz        8.0Gb      $0.143/hr
m5d.xlarge         4 vCPU    3.1 GHz        16.0Gb     $0.286/hr
m5d.2xlarge        8 vCPU    3.1 GHz        32.0Gb     $0.572/hr
m5d.4xlarge        16 vCPU   3.1 GHz        64.0Gb     $1.144/hr
m5d.8xlarge        32 vCPU   3.1 GHz        128.0Gb    $2.288/hr
m5d.12xlarge       48 vCPU   3.1 GHz        192.0Gb    $3.432/hr
m5d.16xlarge       64 vCPU   3.1 GHz        256.0Gb    $4.576/hr
m5d.24xlarge       96 vCPU   3.1 GHz        384.0Gb    $6.864/hr
m5d.metal          96 vCPU   3.1 GHz        384.0Gb    $6.864/hr
m5dn.large         2 vCPU    3.1 GHz        8.0Gb      $0.171/hr
m5dn.xlarge        4 vCPU    3.1 GHz        16.0Gb     $0.342/hr
