m6g.16xlarge   64 vCPU                  256.0Gb   $2.8672/hr
m6g.metal      64 vCPU                  256.0Gb   $2.8672/hr
m6gd.medium    1 vCPU    2.5 GHz        4.0Gb     $0.053/hr
m6gd.large     2 vCPU    2.5 GHz        8.0Gb     $0.106/hr
m6gd.xlarge    4 vCPU    2.5 GHz        16.0Gb    $0.212/hr
m6gd.2xlarge   8 vCPU    2.5 GHz        32.0Gb    $0.424/hr
m6gd.4xlarge   16 vCPU   2.5 GHz        64.0Gb    $0.848/hr
m6gd.8xlarge   32 vCPU   2.5 GHz        128.0Gb   $1.696/hr
m6gd.12xlarge  48 vCPU   2.5 GHz        192.0Gb   $2.544/hr
m6gd.16xlarge  64 vCPU   2.5 GHz        256.0Gb   $3.392/hr
m6gd.metal     64 vCPU   2.5 GHz        256.0Gb   $3.392/hr
m6i.large      2 vCPU    3.5 GHz        8.0Gb     $0.112/hr
m6i.xlarge     4 vCPU    3.5 GHz        16.0Gb    $0.224/hr
m6i.2xlarge    8 vCPU    3.5 GHz        32.0Gb    $0.448/hr
m6i.4xlarge    16 vCPU   3.5 GHz        64.0Gb    $0.896/hr
m6i.8xlarge    32 vCPU   3.5 GHz        128.0Gb   $1.792/hr
m6i.12xlarge   48 vCPU   3.5 GHz        192.0Gb   $2.688/hr
m6i.16xlarge   64 vCPU   3.5 GHz        256.0Gb   $3.584/hr
m6i.24xlarge   96 vCPU   3.5 GHz        384.0Gb   $5.376/hr
m6i.metal      128 vCPU  3.5 GHz        512.0Gb   $7.168/hr
m6i.32xlarge   128 vCPU  3.5 GHz        512.0Gb   $7.168/hr
r3.large       2 vCPU    2.5 GHz        15.25Gb   $0.185/hr
r3.xlarge      4 vCPU    2.5 GHz        30.5Gb    $0.371/hr
r3.2xlarge     8 vCPU    2.5 GHz        61.0Gb    $0.741/hr
r3.4xlarge     16 vCPU   2.5 GHz        122.0Gb   $1.482/hr
r3.8xlarge     32 vCPU   2.5 GHz        244.0Gb   $2.964/hr
r4.large       2 vCPU    2.3 GHz        15.25Gb   $0.1482/hr
r4.xlarge      4 vCPU    2.3 GHz        30.5Gb    $0.2964/hr
r4.2xlarge     8 vCPU    2.3 GHz        61.0Gb    $0.5928/hr
r4.4xlarge     16 vCPU   2.3 GHz        122.0Gb   $1.1856/hr
r4.8xlarge     32 vCPU   2.3 GHz        244.0Gb   $2.3712/hr
r4.16xlarge    64 vCPU   2.3 GHz        488.0Gb   $4.7424/hr
r5.large       2 vCPU    3.1 GHz        16.0Gb    $0.14/hr
r5.xlarge      4 vCPU    3.1 GHz        32.0Gb    $0.28/hr
r5.2xlarge     8 vCPU    3.1 GHz        64.0Gb    $0.56/hr
r5.4xlarge     16 vCPU   3.1 GHz        128.0Gb   $1.12/hr
r5.8xlarge     32 vCPU   3.1 GHz        256.0Gb   $2.24/hr
r5.12xlarge    48 vCPU   3.1 GHz        384.0Gb   $3.36/hr
r5.16xlarge    64 vCPU   3.1 GHz        512.0Gb   $4.48/hr
r5.metal       96 vCPU   3.1 GHz        768.0Gb   $6.72/hr
r5.24xlarge    96 vCPU   3.1 GHz        768.0Gb   $6.72/hr
r5a.large      2 vCPU    2.5 GHz        16.0Gb    $0.126/hr
r5a.xlarge     4 vCPU    2.5 GHz        32.0Gb    $0.252/hr
r5a.2xlarge    8 vCPU    2.5 GHz        64.0Gb    $0.504/hr
r5a.4xlarge    16 vCPU   2.5 GHz        128.0Gb   $1.008/hr
r5a.8xlarge    32 vCPU   2.5 GHz        256.0Gb   $2.016/hr
r5a.12xlarge   48 vCPU   2.5 GHz        384.0Gb   $3.024/hr
r5a.16xlarge   64 vCPU   2.5 GHz        512.0Gb   $4.032/hr
r5a.24xlarge   96 vCPU   2.5 GHz        768.0Gb   $6.048/hr
r5ad.large     2 vCPU    2.5 GHz        16.0Gb    $0.148/hr
r5ad.xlarge    4 vCPU    2.5 GHz        32.0Gb    $0.296/hr
r5ad.2xlarge   8 vCPU    2.5 GHz        64.0Gb    $0.592/hr
r5ad.4xlarge   16 vCPU   2.5 GHz        128.0Gb   $1.184/hr
r5ad.8xlarge   32 vCPU   2.5 GHz        256.0Gb   $2.368/hr
r5ad.12xlarge  48 vCPU   2.5 GHz        384.0Gb   $3.552/hr
r5ad.16xlarge  64 vCPU   2.5 GHz        512.0Gb   $4.736/hr
r5ad.24xlarge  96 vCPU   2.5 GHz        768.0Gb   $7.104/hr
r5d.large      2 vCPU    3.1 GHz        16.0Gb    $0.162/hr
r5d.xlarge     4 vCPU    3.1 GHz        32.0Gb    $0.324/hr
r5d.2xlarge    8 vCPU    3.1 GHz        64.0Gb    $0.648/hr
r5d.4xlarge    16 vCPU   3.1 GHz        128.0Gb   $1.296/hr
r5d.8xlarge    32 vCPU   3.1 GHz        256.0Gb   $2.592/hr
r5d.12xlarge   48 vCPU   3.1 GHz        384.0Gb   $3.888/hr
r5d.16xlarge   64 vCPU   3.1 GHz        512.0Gb   $5.184/hr
r5d.24xlarge   96 vCPU   3.1 GHz        768.0Gb   $7.776/hr
r5d.metal      96 vCPU   3.1 GHz        768.0Gb   $7.776/hr
r5n.large      2 vCPU    2.5 GHz        16.0Gb    $0.169/hr
r5n.xlarge     4 vCPU    2.5 GHz        32.0Gb    $0.338/hr
r5n.2xlarge    8 vCPU    2.5 GHz        64.0Gb    $0.676/hr
r5n.4xlarge    16 vCPU   2.5 GHz        128.0Gb   $1.352/hr
r5n.8xlarge    32 vCPU   2.5 GHz        256.0Gb   $2.704/hr
r5n.12xlarge   48 vCPU   2.5 GHz        384.0Gb   $4.056/hr
r5n.16xlarge   64 vCPU   2.5 GHz        512.0Gb   $5.408/hr
r5n.24xlarge   96 vCPU   2.5 GHz        768.0Gb   $8.112/hr
r5n.metal      96 vCPU   2.5 GHz        768.0Gb   $8.112/hr
r6g.medium     1 vCPU    2.5 GHz        8.0Gb     $0.056/hr
r6g.large      2 vCPU    2.5 GHz        16.0Gb    $0.112/hr
r6g.xlarge     4 vCPU    2.5 GHz        32.0Gb    $0.224/hr
r6g.2xlarge    8 vCPU    2.5 GHz        64.0Gb    $0.448/hr
r6g.4xlarge    16 vCPU   2.5 GHz        128.0Gb   $0.896/hr
r6g.8xlarge    32 vCPU   2.5 GHz        256.0Gb   $1.792/hr
r6g.12xlarge   48 vCPU   2.5 GHz        384.0Gb   $2.688/hr
r6g.metal      64 vCPU   2.5 GHz        512.0Gb   $3.584/hr
r6g.16xlarge   64 vCPU   2.5 GHz        512.0Gb   $3.584/hr
r6gd.medium    1 vCPU    2.5 GHz        8.0Gb     $0.065/hr
r6gd.large     2 vCPU    2.5 GHz        16.0Gb    $0.13/hr
r6gd.xlarge    4 vCPU    2.5 GHz        32.0Gb    $0.26/hr
r6gd.2xlarge   8 vCPU    2.5 GHz        64.0Gb    $0.52/hr
r6gd.4xlarge   16 vCPU   2.5 GHz        128.0Gb   $1.04/hr
r6gd.8xlarge   32 vCPU   2.5 GHz        256.0Gb   $2.08/hr
r6gd.12xlarge  48 vCPU   2.5 GHz        384.0Gb   $3.12/hr
r6gd.16xlarge  64 vCPU   2.5 GHz        512.0Gb   $4.16/hr
r6gd.metal     64 vCPU   2.5 GHz        512.0Gb   $4.16/hr
r6i.large      2 vCPU    3.5 GHz        16.0Gb    $0.14/hr
r6i.xlarge     4 vCPU    3.5 GHz        32.0Gb    $0.28/hr
r6i.2xlarge    8 vCPU    3.5 GHz        64.0Gb    $0.56/hr
r6i.4xlarge    16 vCPU   3.5 GHz        128.0Gb   $1.12/hr
r6i.8xlarge    32 vCPU   3.5 GHz        256.0Gb   $2.24/hr
r6i.12xlarge   48 vCPU   3.5 GHz        384.0Gb   $3.36/hr
r6i.16xlarge   64 vCPU   3.5 GHz        512.0Gb   $4.48/hr
r6i.24xlarge   96 vCPU   3.5 GHz        768.0Gb   $6.72/hr
r6i.metal      128 vCPU  3.5 GHz        1024.0Gb  $8.96/hr
r6i.32xlarge   128 vCPU  3.5 GHz        1024.0Gb  $8.96/hr
t1.micro       1 vCPU                   0.613Gb   $0.025/hr
t2.nano        1 vCPU    Up to 3.3 GHz  0.5Gb     $0.0069/hr
t2.micro       1 vCPU    Up to 3.3 GHz  1.0Gb     $0.0138/hr
t2.small       1 vCPU    Up to 3.3 GHz  2.0Gb     $0.0276/hr
t2.medium      2 vCPU    Up to 3.3 GHz  4.0Gb     $0.0552/hr
t2.large       2 vCPU    Up to 3.3 GHz  8.0Gb     $0.1104/hr
t2.xlarge      4 vCPU    Up to 3.3 GHz  16.0Gb    $0.2208/hr
t2.2xlarge     8 vCPU    Up to 3.3 GHz  32.0Gb    $0.4416/hr
t3.nano        2 vCPU    3.1 GHz        0.5Gb     $0.0062/hr
t3.micro       2 vCPU    3.1 GHz        1.0Gb     $0.0124/hr
t3.small       2 vCPU    3.1 GHz        2.0Gb     $0.0248/hr
t3.medium      2 vCPU    3.1 GHz        4.0Gb     $0.0496/hr
t3.large       2 vCPU    3.1 GHz        8.0Gb     $0.0992/hr
t3.xlarge      4 vCPU    3.1 GHz        16.0Gb    $0.1984/hr
t3.2xlarge     8 vCPU    3.1 GHz        32.0Gb    $0.3968/hr
t3a.nano       2 vCPU    2.5 GHz        0.5Gb     $0.0056/hr
t3a.micro      2 vCPU    2.5 GHz        1.0Gb     $0.0112/hr
t3a.small      2 vCPU    2.5 GHz        2.0Gb     $0.0223/hr
t3a.medium     2 vCPU    2.5 GHz        4.0Gb     $0.0446/hr
t3a.large      2 vCPU    2.5 GHz        8.0Gb     $0.0893/hr
t3a.xlarge     4 vCPU    2.5 GHz        16.0Gb    $0.1786/hr
t3a.2xlarge    8 vCPU    2.5 GHz        32.0Gb    $0.3571/hr
t4g.nano       2 vCPU    2.5 GHz        0.5Gb     $0.005/hr
t4g.micro      2 vCPU    2.5 GHz        1.0Gb     $0.01/hr
t4g.small      2 vCPU    2.5 GHz        2.0Gb     $0.02/hr
t4g.medium     2 vCPU    2.5 GHz        4.0Gb     $0.04/hr
t4g.large      2 vCPU    2.5 GHz        8.0Gb     $0.08/hr
t4g.xlarge     4 vCPU    2.5 GHz        16.0Gb    $0.16/hr
t4g.2xlarge    8 vCPU    2.5 GHz        32.0Gb    $0.32/hr
z1d.large      2 vCPU    4 GHz          16.0Gb    $0.211/hr
z1d.xlarge     4 vCPU    4 GHz          32.0Gb    $0.422/hr
z1d.2xlarge    8 vCPU    4 GHz          64.0Gb    $0.844/hr
z1d.3xlarge    12 vCPU   4 GHz          96.0Gb    $1.266/hr
z1d.6xlarge    24 vCPU   4 GHz          192.0Gb   $2.532/hr
z1d.metal      48 vCPU   4 GHz          384.0Gb   $5.064/hr
z1d.12xlarge   48 vCPU   4 GHz          384.0Gb   $5.064/hr
