c1.medium      2 vCPU                   1.7Gb     $0.179/hr
c1.xlarge      8 vCPU                   7.0Gb     $0.718/hr
m6i.16xlarge   64 vCPU   3.5 GHz        256.0Gb   $4.896/hr
m6i.24xlarge   96 vCPU   3.5 GHz        384.0Gb   $7.344/hr
m6i.metal      128 vCPU  3.5 GHz        512.0Gb   $9.792/hr
m6i.32xlarge   128 vCPU  3.5 GHz        512.0Gb   $9.792/hr
r3.large       2 vCPU    2.5 GHz        15.25Gb   $0.35/hr
r3.xlarge      4 vCPU    2.5 GHz        30.5Gb    $0.7/hr
r3.2xlarge     8 vCPU    2.5 GHz        61.0Gb    $1.399/hr
r3.4xlarge     16 vCPU   2.5 GHz        122.0Gb   $2.799/hr
r3.8xlarge     32 vCPU   2.5 GHz        244.0Gb   $5.597/hr
r4.large       2 vCPU    2.3 GHz        15.25Gb   $0.28/hr
r4.xlarge      4 vCPU    2.3 GHz        30.5Gb    $0.56/hr
r4.2xlarge     8 vCPU    2.3 GHz        61.0Gb    $1.12/hr
r4.4xlarge     16 vCPU   2.3 GHz        122.0Gb   $2.24/hr
r4.8xlarge     32 vCPU   2.3 GHz        244.0Gb   $4.48/hr
r4.16xlarge    64 vCPU   2.3 GHz        488.0Gb   $8.96/hr
r5.large       2 vCPU    3.1 GHz        16.0Gb    $0.201/hr
r5.xlarge      4 vCPU    3.1 GHz        32.0Gb    $0.402/hr
r5.2xlarge     8 vCPU    3.1 GHz        64.0Gb    $0.804/hr
r5.4xlarge     16 vCPU   3.1 GHz        128.0Gb   $1.608/hr
r5.8xlarge     32 vCPU   3.1 GHz        256.0Gb   $3.216/hr
r5.12xlarge    48 vCPU   3.1 GHz        384.0Gb   $4.824/hr
r5.16xlarge    64 vCPU   3.1 GHz        512.0Gb   $6.432/hr
r5.metal       96 vCPU   3.1 GHz        768.0Gb   $9.648/hr
r5.24xlarge    96 vCPU   3.1 GHz        768.0Gb   $9.648/hr
r5a.large      2 vCPU    2.5 GHz        16.0Gb    $0.181/hr
r5a.xlarge     4 vCPU    2.5 GHz        32.0Gb    $0.362/hr
r5a.2xlarge    8 vCPU    2.5 GHz        64.0Gb    $0.724/hr
r5a.4xlarge    16 vCPU   2.5 GHz        128.0Gb   $1.448/hr
